id,species,url,section,source
9dfd5d94-7f54-4e9f-880e-e683eae3a91c,houstonii,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000065632.jpg,melongena,idigbio
65c3037a-ea4b-4baa-81eb-8981c9a18b62,bulbocastanum,http://data.huh.harvard.edu/9e9bfe45-e1a3-4ce0-8c2b-b28486b490b3/image,petota,idigbio
19f0db9c-e284-441a-b6ed-8e5a693ba506,grayi,http://n2t.net/ark:/65665/m3ae3960ec-d886-4eb8-b665-bb50c64c66f0,melongena,idigbio
19f0db9c-e284-441a-b6ed-8e5a693ba506,grayi,http://n2t.net/ark:/65665/m3c1f6d537-d218-4012-8537-fd96fd180649,melongena,idigbio
0d53c48d-e5ad-43ba-8465-271b34cbdda9,nigrescens,http://n2t.net/ark:/65665/m3cebed29a-30d2-43b9-8144-209b8c435a25,solanum,idigbio
a64aca3f-d22d-497e-9f18-74d2a2ade357,verrucosum,http://ww2.bgbm.org/herbarium/images/B/10/01/88/09/B_10_0188092.jpg,petota,idigbio
469068c9-b52a-4dce-af43-37245149334e,diphyllum,http://n2t.net/ark:/65665/m3aadbad88-0089-48ac-af64-13261eea7762,holophylla,idigbio
469068c9-b52a-4dce-af43-37245149334e,diphyllum,http://n2t.net/ark:/65665/m36d1add6d-fe1f-48b8-9f83-b855be03cc40,holophylla,idigbio
67039f87-ec58-4699-9d67-dd9913975753,ferrugineum,http://n2t.net/ark:/65665/m3a9c2f3b4-8f7c-48df-904f-5634ed179243,torva,idigbio
5489bccc-52a3-43c6-b31c-5fbc6e35ca9e,lignescens,http://n2t.net/ark:/65665/m3bd4d23b0-704d-47e5-8d4a-bdb0102d00e2,gonatotrichum,idigbio
79053773-81cb-41ae-aea3-774d3340bcda,nudum,http://n2t.net/ark:/65665/m3646d977d-d810-42ea-afba-adc08ba069e6,holophylla,idigbio
dfbda468-3c5e-41b1-9749-0079cbf6294f,pseudocapsicum,http://n2t.net/ark:/65665/m300a938f9-89db-4732-a1f6-f4c2faf706c7,holophylla,idigbio
329966cd-076a-44b6-8770-c2639d8d414f,demissum,http://n2t.net/ark:/65665/m36d1effdf-3c8d-41c4-88f5-93a60691b008,petota,idigbio
5fd9f399-3316-4f99-88a5-e275e6fe4006,lanceolatum,http://n2t.net/ark:/65665/m32d5b11fb-a3b0-4dfc-b861-b03f93b76ce0,torva,idigbio
6787c1cb-5785-48e5-9027-cb7f1d831d10,polyadenium,http://n2t.net/ark:/65665/m3d6e25eb3-f704-4282-96e2-7a266198b372,petota,idigbio
0c5edbb1-22f6-4da1-bce4-addeee3609c1,erianthum,http://n2t.net/ark:/65665/m3037c8d0b-859a-4198-a04c-d45f090bd53b,brevantherum,idigbio
11ed5dcd-f482-4621-8087-0caaca38d645,stoloniferum,http://n2t.net/ark:/65665/m37e72012a-3e8d-412d-b98a-fa92bb6c5889,petota,idigbio
269aa83f-faa4-4405-829d-8cc568e947cf,demissum,http://n2t.net/ark:/65665/m3f4ef9a07-a227-49f4-8df6-2f5636e05b1c,petota,idigbio
e6ed36f0-2e1d-4cc9-b3e3-42e20d68223b,lanceolatum,http://n2t.net/ark:/65665/m39e757e23-cfcf-4d3c-9993-e77c2897d820,torva,idigbio
d17d46bd-bdd3-4190-972a-8348f4c02329,lanceolatum,http://n2t.net/ark:/65665/m3bcf8fabd-41b2-4936-855a-8cd8a90da066,torva,idigbio
2b36477c-6de8-43e4-a044-66db70846fbd,erianthum,http://n2t.net/ark:/65665/m339c2351b-7574-4e42-833e-5cbc7442e3d2,brevantherum,idigbio
ca21b6a4-b0b6-4e38-b6f0-86a252ed1a2b,verrucosum,http://n2t.net/ark:/65665/m33a8f49e9-b903-480a-81dc-3f7a0e007147,petota,idigbio
